source_id,source_kind,title,citation,source_path,source_url,evidence_layer,availability,evidence_strength,evidence_type,needs_manual_review,review_note,classification_rule
"SRC-EVP3-001","web_url","鲁迅日记·日记十八（1929年）","维基文库公版转录（作者鲁迅；底本为人民文学出版社《鲁迅全集》日记卷），访问日期2026-08-21","","https://zh.wikisource.org/zh-hans/%E9%AD%AF%E8%BF%85%E6%97%A5%E8%A8%98/%E6%97%A5%E8%AE%B0%E5%8D%81%E5%85%AB","web_crosscheck","web","一手","日记转录","yes","鲁迅日记原文属公版一手史料；维基文库为公益转录平台，转正前建议与纸本《鲁迅日记》核对一次。本页已逐字核验二月十六日、六月十九日、七月六日至九日条。","web:public_domain_transcript"
"SRC-EVP3-002","web_url","鲁迅日记·日记十九（1930年）","维基文库公版转录（作者鲁迅），访问日期2026-08-21","","https://zh.wikisource.org/zh-hans/%E9%AD%AF%E8%BF%85%E6%97%A5%E8%A8%98/%E6%97%A5%E8%AE%B0%E5%8D%81%E4%B9%9D","web_crosscheck","web","一手","日记转录","yes","已逐字核验三月二十三、二十八、三十、三十一日及九月十七日条。与SRC-EVP3-001、SRC-EVP3-003同属维基文库鲁迅日记来源族。","web:public_domain_transcript"
"SRC-EVP3-003","web_url","鲁迅日记·日记二十（1931年）","维基文库公版转录（作者鲁迅），访问日期2026-08-21","","https://zh.wikisource.org/zh-hans/%E9%AD%AF%E8%BF%85%E6%97%A5%E8%A8%98/%E6%97%A5%E8%AE%B0%E4%BA%8C%E5%8D%81","web_crosscheck","web","一手","日记转录","yes","已逐字核验八月二十一、二十二日及六月二日条。与SRC-EVP3-001/002同族。","web:public_domain_transcript"
"SRC-EVP3-004","web_url","悦读北外滩｜鲁迅的生日宴会","上海市虹口区人民政府门户网站转载“上海虹口”微信公众号，2023-09-30，访问日期2026-08-21","","https://www.shhk.gov.cn/xwzx/002008/002008040/20230930/262c3707-a49c-4a0a-a2cf-95f972862dba.html","web_crosscheck","web","二手","政府文史栏目","yes","区政府官方渠道，可作寿辰事件的B级转载核验页面。注意独立性口径：本文直接转引的正是1930年9月17日《鲁迅日记》原文（与SRC-EVP3-002/FE-EVP3-0003同一篇底层史料），故FE-EVP3-0009与FE-EVP3-0003两条记录仅可互校转录准确性，不能证明两个独立史料来源均支持该事件；独立双源判定按底层史料而非网站域名。","web:government_site"
"SRC-EVP3-005","web_url","红色档案背后的故事丨丁玲主编《北斗》：一本杂志，一个战场","湖南日报·新湖南客户端（记者黄晗），2020-07-25，访问日期2026-08-21","","https://www.hunantoday.cn/news/xhn/202007/14469914.html","web_crosscheck","web","二手","党媒档案报道","yes","省级党媒档案栏目，明确记载《北斗》1931年9月20日创刊、湖风书局发行，与事件表当前9月1日冲突。","web:party_media"
"SRC-EVP3-006","web_url","陈望道三题","中国作家网转载《解放日报》（韦泱），2018-07-18，访问日期2026-08-21","","https://www.chinawriter.com.cn/n1/2018/0718/c404064-30154368.html","web_crosscheck","web","二手","权威媒体文史","yes","中国作协官网转载解放日报文章，明确记载陈望道1934年9月20日创办《太白》。与SRC-EVP3-011同属中国作家网平台，独立性按同一平台保守处理。","web:authoritative_media"
"SRC-EVP3-007","web_url","《避暑录话》与1930年代中期青岛的文学生态","中国作家网转载《新文学史料》（李莹），2021-04-27，访问日期2026-08-21","","https://www.chinawriter.com.cn/n1/2021/0427/c404063-32088929.html","web_crosscheck","web","二手","学术期刊网络版","yes","原载《新文学史料》，首段明确记载创刊号见于1935年7月14日《青岛民报》、十二位作家共同撰稿。","web:authoritative_media"
"SRC-EVP3-008","web_url","生活周刊（馆藏报刊条目）","韬奋纪念馆官网报刊数据库，访问日期2026-08-21","","https://www.zoutaofen.com/resource/show/101.html","web_crosscheck","web","二手","纪念馆数据库","yes","纪念馆官方数据库明确记载创刊时间1925年10月11日、中华职业教育社机关报，证明事件表当前1929年为误记。","web:memorial_database"
"SRC-EVP3-009","web_url","从“论争”到“统一”——左联成立始末及其重要作用","中国作家网转载《文艺报》（慕津锋），2021-04-12，访问日期2026-08-21","","https://www.chinawriter.com.cn/n1/2021/0412/c404063-32075183.html","web_crosscheck","web","二手","权威媒体文史","yes","明确记载革命文学论争爆发于1928年上海，创造社太阳社一方、鲁迅另一方，可用于校正两个“1927论战”事件。","web:authoritative_media"
"SRC-EVP3-010","web_url","《潮汕左翼文化名人》（3）冯铿：岭上巾帼 傲梅风骨","纪录小康工程·广东数据库（指导单位中共广东省委宣传部，建设单位南方新闻网），访问日期2026-08-21；该来源已并入生产库SRC-1163","","https://gdxk.southcn.com/st/ztp/content/post_371048.html","web_crosscheck","web","二手","专题片文字实录","yes","本轮复核确认其记载“1月17日晚上，柔石和冯铿到东方旅社，参加一个党内的秘密会议”，可同时支持EVT-00257。合并时应复用生产SRC-1163，不得新增正式ID。注意：2026-08-21晚抽查时该站返回502（当日早间已完整核验通过），转正前必须复核页面恢复情况。","web:official_database"
